Timestamp,در کدام محدوده سنی هستید؟,جنسیت,خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:,استان محل کار,چند سال تجربه کار تمام وقت دارید؟,آخرین وضعیت تحصیلی,چه مدارک بین المللی ای اخذ کرده اید,چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟,چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟,در سه ماه گذشته چند کتاب خوانده اید؟,زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟,به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟,دیتابیس‌های مورد استفاده,سیستم عامل رومیزی شما کدام است؟,سیستم عامل سرور مورد علاقه شما,و وقتی صحبت از تلفن همراه باشد...,در چه محیطی برنامه نویسی می‌کنید,تم آی دی ای,از چه سورس کنترلی استفاده می کنید؟,از کدام تکنولوزی ها استفاده می کنید,تب یا اسپیس؟,نوشیدنی‌های اصلی شما چیست؟,تیپ ,تغییر در بدن؟,کدام‌ها در مورد شما صدق می‌کند,سبک موسیقی,وضعیت رابطه,به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...),حوزه کاری شما چیست,نوع شرکت شما کدام است؟,تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1),متوسط درآمد ماهیانه شما (به تومان),محل کار چه خدماتی بیشتر از حقوق ارائه می دهد,چگونه کار می کنید؟,شیوه کار شما کدام است؟,در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان),چقدر از کاری که انتخاب کرده اید راضی هستید؟,آیا نکته ای هست که بخواهید اضافه کنید؟ بنویسید...
3/17/2017 21:25:05,۱۸ تا ۲۲,مرد,البرز,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,"DB (Oracle, ..)",بیشتر از چهارده ساعت,کمتر از دو ساعت,دو یا سه,"PHP, Javascript, SQL","Java, Python",MySQL/MariaDB,OS X,Linux CentOS,iOS,محصولات جت برین,تیره,گیت,سورس کنترل,اسپیس,چای,"تی شرت, جین, تیره, گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","کلاسیک, رپ",بدون رابطه ولی علاقمند به شروع رابطه,3,توسعه دهنده فول استک وب,شرکت های تولید نرم افزار,13,زیر یک میلیون,,نیمه وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,5,
3/17/2017 21:41:55,۲۳ تا ۲۹,مرد,البرز,تهران,یک تا سه سال,کاردانی,,کمتر از دو ساعت,دو تا هفت ساعت,هیچ,"Java, C#, Swift","C, C++, Objective C, Kotlin",sqlite,OS X,"Linux Ubuntu, OS X","Android, iOS","سابلایم, ایکس کد, محصولات جت برین",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",تب,"چای, آب","تی شرت, جین, تیره, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت",,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","پاپ ایرانی, راک, رپ",با پارتنر دائم,4,توسعه دهنده موبایل,شرکت های تولید نرم افزار,30,سه و نیم تا پنج میلیون,"برگزاری مراسم و تولدها در داخل شرکت, تلفن همراه, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,
3/17/2017 21:57:33,۱۸ تا ۲۲,مرد,قزوین,قزوین,زیر یکسال,در حال تحصیل در دوره لیسانس,"Network (CCNA, MCSE, MCITP, ...), Linux (LPIC, ...)",بیشتر از چهارده ساعت,بیشتر از چهارده ساعت,هیچ,Java,"C, C++, Javascript, Assembly, Go, Bash","MySQL/MariaDB, sqlite",Windows 10,Linux Debian,Android,محصولات جت برین,تیره,گیت,"سورس کنترل, بیلد سیستم ها",تب,"چای, قهوه, دمنوش‌های متنوع, آب","پیرهن مردونه, روشن",,در رابطه نیستم ولی دوست داشتم بودم,"کلاسیک, پاپ ایرانی, پاپ خارجی, easy listening",بدون رابطه ولی علاقمند به شروع رابطه,,توسعه دهنده موبایل,شرکت های تولید نرم افزار,30,زیر یک میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,4,
3/17/2017 22:05:13,۲۳ تا ۲۹,مرد,خراسان رضوی,تهران,سه تا هفت سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"C#, Javascript, SQL",Java,MS-SQL,Windows 10,Windows Server 2012,Android,ویژوال استودیو,روشن,"گیت, تی اف اس",سورس کنترل,اسپیس,"چای, قهوه",تی شرت,,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","پاپ خارجی, متال",رابطه های نا پایدار,1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند",شرکت های تولید نرم افزار,80,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,دوست داشتم از ایران برم. کاش میشد بدونم چقدر از برنامه نویس های ایرانی همین خواسته رو دارن.
3/17/2017 22:44:00,۳۰ تا ۳۹,مرد,گلستان,گلستان,هفت تا پانزده سال,لیسانس,"Network (CCNA, MCSE, MCITP, ...)",دو تا هفت ساعت,دو تا هفت ساعت,یک,"C#, Visual Basic","Java, SQL, Scala",MS-SQL,"Windows 7, Windows 10",Windows Server 2008,Android,ویژوال استودیو,روشن,استفاده نمی کنم,کلاود,تفاوتی ندارد,آب,پیرهن مردونه,,بیشتر از سه بار در هفته ورزش می کنم,سنتی,ازدواج کرده ام,2,توسعه دهنده موبایل,شرکت های تولید نرم افزار,3,دو تا سه و نیم میلیون,"کارت هدیه و کارت خرید, پاداش بر اساس نتایج",تمام وقت خصوصی,شخصی کار می کنم و در محل خودم,بین بیست و پنج تا پنجاه,5,پشتکار واعتماد بنفس
3/17/2017 23:00:41,۳۰ تا ۳۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,کمتر از دو ساعت,دو تا هفت ساعت,یک,Java,"Python, Javascript","MySQL/MariaDB, sqlite",Windows 8,Linux CentOS,Android,محصولات اکلیپس,تیره,گیت,"سورس کنترل, بیلد سیستم ها",تب,"دمنوش‌های متنوع, انواع ماء الشعیر, آب","رسمی, گجت پوشیدنی دارم (ساعت هوشمند، ...)",,,,,2,شبکه,شرکت های ارائه دهنده سرویس های مختلف,30,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,3,
3/17/2017 23:35:41,۲۳ تا ۲۹,مرد,زنجان,زنجان,یک تا سه سال,در حال تحصیل در فوق لیسانس,,دو تا هفت ساعت,بیشتر از چهارده ساعت,دو یا سه,"Java, C, C++, C#, Python, PHP, Javascript","R, Go, Bash","MS-SQL, MySQL/MariaDB, Postgresql, sqlite","Windows 7, Linux Ubuntu","Linux RedHat, Linux CentOS, Linux Debian",Android,"ویژوال استودیو, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), ویم",تیره,گیت,سورس کنترل,تب,"چای, قهوه, انواع ماء الشعیر","پیرهن مردونه, روشن",,بیشتر از سه بار در هفته ورزش می کنم,"سنتی, پاپ ایرانی, راک",با پارتنر دائم,2,"توسعه دهنده فول استک وب, توسعه دهنده دسکتاپ, بازی سازی, تحلیلگر",,12,زیر یک میلیون,,تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,زیر ده هزار,1,
3/18/2017 0:06:33,۱۸ تا ۲۲,مرد,اصفهان,اصفهان,سه تا هفت سال,در حال تحصیل در دوره لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,Javascript,"Python, Swift, Go","No Database, MongoDB",OS X,Linux Ubuntu,iOS,اتم,تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار, کلاود",تب,"قهوه, انواع ماء الشعیر","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, روشن, رسمی, گجت پوشیدنی دارم (ساعت هوشمند، ...), ساعت می بندم, اسپورت, متفاوت از اکثریت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم","پاپ خارجی, متال, راک, رپ, الکترونیک دنس",بدون رابطه ولی علاقمند به شروع رابطه,3,توسعه دهنده فرانت اند,"شرکت های تولید نرم افزار, شرکت های پشتیبانی و دیگر خدمات نرم افزار, استارتاپ",10,یک تا دو میلیون,"خوراکی و اسنک‌های رایگان داخل شرکت, بیمه",نیمه وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,بین ده تا بیست و پنج,4,
3/18/2017 0:22:32,۲۳ تا ۲۹,مرد,البرز,تهران,یک تا سه سال,فوق لیسانس,,دو تا هفت ساعت,صفر,یک,"C++, Python, PHP, Javascript","Swift, Go","MySQL/MariaDB, sqlite, Redis","OS X, Linux Ubuntu",Linux Debian,iOS,"محصولات جت برین, ویم, محصولات اکلیپس",گاهی روشن گاهی تیره,گیت,"سورس کنترل, هوش مصنوعی",اسپیس,چای,"تی شرت, اسپورت",,سیاست برایم مهم است,"کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, راک, رپ, بلوز, کانتری",با پارتنر دائم,1,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, تحلیلگر","شرکت های تولید نرم افزار, شرکت های ارائه دهنده سرویس های مختلف",110,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,
3/18/2017 0:36:06,۳۰ تا ۳۹,مرد,البرز,تهران,هفت تا پانزده سال,کاردانی,,هفت تا چهارده ساعت,کمتر از دو ساعت,دو یا سه,Python,"Java, C, C++","MySQL/MariaDB, Postgresql, MongoDB",Linux Arch,Linux Ubuntu,Android,ویم,تیره,گیت,سورس کنترل,تب,"چای, آب","تی شرت, جین",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم",متال,با پارتنر دائم,2,"توسعه دهنده بک اند, مدیر دیتابیس",شرکت های تولید نرم افزار,180,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, کارت هدیه و کارت خرید, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,5,
3/18/2017 1:12:32,۲۳ تا ۲۹,مرد,فارس,فارس,یک تا سه سال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,هفت تا چهارده ساعت,یک,"C#, Visual Basic","Java, PHP, Javascript, Matlab, SQL",MS-SQL,Windows 10,Windows Server 2016,Android,ویژوال استودیو,,,"سورس کنترل, کلاود",تب,قهوه,"تی شرت, جین, پیرهن مردونه",,در رابطه نیستم ولی دوست داشتم بودم,پاپ ایرانی,با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,2,شبکه,شرکت های ارائه دهنده سرویس های مختلف,50,زیر یک میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,4,محیط کاریم را دوست دارم اما از حقوقش اصلا راضی نیستم
3/18/2017 1:40:38,۲۳ تا ۲۹,مرد,تهران,تهران,یک تا سه سال,کاردانی,,دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,"Java, SQL, Groovy","Python, Objective C, Swift","Postgresql, MongoDB","OS X, Linux Ubuntu",Linux CentOS,Android,محصولات جت برین,تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",تب,"چای, قهوه, نوشیدنی‌های الکلی","تی شرت, جین, روشن, اسپورت",,"بیشتر از یک نخ در روز سیگار می کشم, در رابطه نیستم ولی دوست داشتم بودم","پاپ ایرانی, متال, بلوز",بدون رابطه ولی علاقمند به شروع رابطه,2,توسعه دهنده موبایل,استارتاپ,100,دو تا سه و نیم میلیون,"ناهار رایگان, پاداش بر اساس نتایج, لپ تاپ",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
3/18/2017 1:41:42,۲۳ تا ۲۹,مرد,فارس,تهران,سه تا هفت سال,لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,هیچ,"Java, PHP, Javascript, SQL","Java, Python, Swift","MySQL/MariaDB, sqlite",Windows 10,Linux CentOS,Android,"ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت), محصولات اکلیپس, android studio",تیره,استفاده نمی کنم,هوش مصنوعی,تب,"قهوه, آب","تی شرت, جین, گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت",,"بیشتر از یک نخ در روز سیگار می کشم, بیشتر از سه بار در هفته ورزش می کنم, سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, متال, راک, بلوز",با پارتنر دائم,4,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده موبایل, توسعه دهنده فرانت اند, تحلیلگر","شرکت های تولید نرم افزار, استارتاپ, تولید مستقل محصول و فروش در سایت ها و پلتفرمها",1,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, بیمه",پروژه ای با شرکت‌ها,اکثر مواقع دورکاری و گاهی به دفتر می روم,بین ده تا بیست و پنج,5,
3/18/2017 1:43:02,۲۳ تا ۲۹,مرد,سیستان و بلوچستان,خراسان رضوی,یک تا سه سال,لیسانس,,بیشتر از چهارده ساعت,دو تا هفت ساعت,دو یا سه,"Java, PHP","C#, Javascript, Swift","MySQL/MariaDB, sqlite",Windows 10,Linux CentOS,Android,Android studio,روشن,"گیت, اس وی ان",,تب,"چای, آب","تی شرت, جین, پیرهن مردونه",,,,,,توسعه دهنده موبایل,,3,یک تا دو میلیون,,تمام وقت خصوصی,,بین بیست و پنج تا پنجاه,2,
3/18/2017 8:03:55,۲۳ تا ۲۹,مرد,گلستان,خراسان رضوی,سه تا هفت سال,در حال تحصیل در فوق لیسانس,"Linux (LPIC, ...)",دو تا هفت ساعت,بیشتر از چهارده ساعت,سه تا شش,"PHP, SQL","Java, Javascript","MySQL/MariaDB, MongoDB","Windows 10, Linux Ubuntu","Linux CentOS, Linux Debian",Android,"سابلایم, محصولات جت برین",تیره,گیت,,تب,چای,"پیرهن مردونه, کت و شلوار, رسمی",,سیاست برایم مهم است,,ازدواج کرده ام,1,توسعه دهنده بک اند,شرکت های تولید نرم افزار,50,یک تا دو میلیون,"باشگاه ورزشی داخل شرکت, قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,3,
3/18/2017 9:07:02,۲۳ تا ۲۹,مرد,فارس,فارس,زیر یکسال,در حال تحصیل در فوق لیسانس,,کمتر از دو ساعت,هفت تا چهارده ساعت,دو یا سه,PHP,"Java, C#, Matlab","MS-SQL, MySQL/MariaDB",Windows 10,Windows Server 2016,Android,"ویژوال استودیو, ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)",از آی دی ای استفاده نمی کنم,گیت,,تب,"انرژی زا, نوشابه, نوشیدنی‌های الکلی","تی شرت, جین, روشن, ساعت می بندم",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","سنتی, پاپ ایرانی, متال",رابطه های نا پایدار,2,"توسعه دهنده فول استک وب, مدیر سیستم, مدیر شرکت / پروژه / ..., تست کننده","شرکت های خارجی, تولید مستقل محصول و فروش در سایت ها و پلتفرمها",400,پنج تا هفت میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, کارت هدیه و کارت خرید, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, تلفن همراه, بیمه, بیمه تکمیلی",شرکت های خارجی,اکثر مواقع دورکاری و گاهی به دفتر می روم,,4,
3/18/2017 9:33:31,۲۳ تا ۲۹,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در فوق لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,دو یا سه,"Java, Swift","Javascript, Ruby, R, Go",No Database,"Windows 10, OS X",Linux CentOS,"Android, iOS","ایکس کد, محصولات جت برین",تیره,گیت,"سورس کنترل, بیلد سیستم ها, تست های خودکار",اسپیس,"قهوه, آب","گجت پوشیدنی دارم (ساعت هوشمند، ...), اسپورت",,"بیشتر از سه بار در هفته ورزش می کنم, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم",پاپ خارجی,بدون رابطه ولی علاقمند به شروع رابطه,,"توسعه دهنده موبایل, بازی سازی",شرکت های خارجی,40,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, آموزش خارج از شرکت, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
3/18/2017 9:33:37,۳۰ تا ۳۹,مرد,تهران,تهران,پانزده تا بیست و پنج,فوق لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"C++, PHP, Javascript, Matlab, SQL, Go, Bash",Assembly,"MySQL/MariaDB, sqlite, Hadoop Based technoloties, MongoDB, Redis","Linux (other), OpenSuSE Leap","BSDs, Linux ( Other )",Android,"Qt Creator, VS Code",گاهی روشن گاهی تیره,"گیت, اس وی ان","سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار, کلاود, هوش مصنوعی",اسپیس,"چای, قهوه, دمنوش‌های متنوع, آب","پیرهن مردونه, رسمی",,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی",ازدواج کرده ام,2,"توسعه دهنده فول استک وب, مدیر سیستم, شبکه, امنیت, تحلیلگر, مدیر شرکت / پروژه / ..., توسعه‌دهنده زیرساخت","شرکت های تولید نرم افزار, استارتاپ",10,هفت تا ده میلیون,"قهوه،‌ چای و ... رایگان, پاداش بر اساس نتایج",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین پنجاه تا صد,4,
3/18/2017 10:01:14,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,لیسانس,,هفت تا چهارده ساعت,دو تا هفت ساعت,سه تا شش,"PHP, Javascript, SQL, Bash","Java, C++, Scala, Go","MySQL/MariaDB, sqlite, MongoDB, Redis, Other NoSQLs (couch, raven, ...)",Linux Ubuntu,"Linux Debian, Linux Ubuntu","Android, iOS","سابلایم, محصولات جت برین, ویم",تیره,گیت,سورس کنترل,,"چای, قهوه, دمنوش‌های متنوع","تی شرت, جین, پیرهن مردونه, اسپورت",,"بیشتر از یک نخ در روز سیگار می کشم, سیاست برایم مهم است","کلاسیک, سنتی, راک, بلوز, کانتری",با پارتنر دائم,3,"توسعه دهنده فول استک وب, تحلیلگر, مدیر شرکت / پروژه / ...",استارتاپ,14,سه و نیم تا پنج میلیون,"ناهار رایگان, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت, برگزاری مراسم و تولدها در داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
3/18/2017 10:13:24,۲۳ تا ۲۹,مرد,البرز,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,"Programming Languages (Java, MCP, ..)",دو تا هفت ساعت,دو تا هفت ساعت,دو یا سه,"PHP, Javascript",Swift,"MySQL/MariaDB, Redis",OS X,Linux Ubuntu,iOS,محصولات اکلیپس,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها, تست های خودکار",تب,"چای, قهوه, دمنوش‌های متنوع, آب","تی شرت, جین, پیرهن مردونه, رنگی رنگی, تیره, روشن, رسمی, ساعت می بندم, اسپورت",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, رپ, easy listening, بلوز, کانتری",با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,2,"توسعه دهنده فول استک وب, توسعه دهنده بک اند, توسعه دهنده فرانت اند, مدیر سیستم, مدیر دیتابیس, امنیت, طراح, تحلیلگر, مدیر شرکت / پروژه / ..., مستند سازی","شرکت های تولید نرم افزار, شرکت های ارائه دهنده سرویس های مختلف, استارتاپ",13,سه و نیم تا پنج میلیون,"عضویت باشگاه های ورزشی یا هزینه ورزش, قهوه،‌ چای و ... رایگان, خوراکی و اسنک‌های رایگان داخل شرکت, لپ تاپ, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,4,
3/18/2017 10:24:56,۲۳ تا ۲۹,مرد,مازندران,تهران,سه تا هفت سال,کاردانی,,دو تا هفت ساعت,هفت تا چهارده ساعت,یک,"PHP, Javascript","Python, Go, Bash","MySQL/MariaDB, sqlite, Redis",Linux Ubuntu,Linux Ubuntu,Android,محصولات جت برین,تیره,گیت,"سورس کنترل, کانتینرها, بیلد سیستم ها",تب,"چای, آب","جین, اسپورت",,,"کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, رپ, بلوز, کانتری",ازدواج کرده ام,2,توسعه دهنده فول استک وب,شرکت های ارائه دهنده سرویس های مختلف,66,پنج تا هفت میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,بین ده تا بیست و پنج,5,در مورد اضافه کاری هم باید پرسیده بشه.خیلیا بیشتر از سه میلیون تومن اضافه کاری میگیرن. ساعت اضافه کاری که هر ماه براشون ثبت میشه هم جالبه 
3/18/2017 11:20:39,۲۳ تا ۲۹,مرد,مازندران,مازندران,یک تا سه سال,لیسانس,,بیشتر از چهارده ساعت,هفت تا چهارده ساعت,دو یا سه,"Java, PHP, Javascript","Python, Matlab",MySQL/MariaDB,Windows 8,Linux Ubuntu,Android,محصولات جت برین,روشن,تی اف اس,هوش مصنوعی,تب,قهوه,اسپورت,,"سیاست برایم مهم است, حداقل یک روز در میان دوش می گیرم","سنتی, بلوز",با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام,2,توسعه دهنده بک اند,شرکت های تولید نرم افزار,20,یک تا دو میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,,3,
3/18/2017 11:39:03,۲۳ تا ۲۹,مرد,خراسان رضوی,خراسان رضوی,سه تا هفت سال,در حال تحصیل در دوره دکترا,"Network (CCNA, MCSE, MCITP, ...), Programming Languages (Java, MCP, ..)",دو تا هفت ساعت,کمتر از دو ساعت,دو یا سه,"C, C++, C#, Javascript",Python,"MS-SQL, Postgresql","Windows 10, Linux Ubuntu","Windows Server 2016, Linux CentOS",Android,ویژوال استودیو,روشن,گیت,"سورس کنترل, تست های خودکار, بیگ دیتا, کلاود, هوش مصنوعی",تب,"چای, آب",تیره,,حداقل یک روز در میان دوش می گیرم,"کلاسیک, سنتی, پاپ ایرانی, پاپ خارجی, الکترونیک دنس",بدون رابطه و بدون علاقه به شروع,1,"توسعه دهنده فول استک وب, شبکه, امنیت, تحلیلگر",تولید مستقل محصول و فروش در سایت ها و پلتفرمها,1,سه و نیم تا پنج میلیون,,پروژه ای مستقل,شخصی کار می کنم و در محل خودم,,5,
3/18/2017 11:46:02,۲۳ تا ۲۹,مرد,آذربایجان شرقی,تهران,یک تا سه سال,فوق لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,یک,Java,"Javascript, Swift, Bash","sqlite, Other NoSQLs (couch, raven, ...)",Linux Ubuntu,Linux Ubuntu,Android,محصولات جت برین,تیره,گیت,سورس کنترل,تب,"چای, نوشابه","تی شرت, پیرهن مردونه",,"سیاست برایم مهم است, در رابطه نیستم ولی دوست داشتم بودم","پاپ خارجی, راک",بدون رابطه ولی علاقمند به شروع رابطه,3,توسعه دهنده موبایل,استارتاپ,70,سه و نیم تا پنج میلیون,"قهوه،‌ چای و ... رایگان, برگزاری مراسم و تولدها در داخل شرکت, بیمه, بیمه تکمیلی",تمام وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,ساعتی کار نمی کنم,5,
3/18/2017 11:51:04,۱۸ تا ۲۲,مرد,تهران,تهران,زیر یکسال,در حال تحصیل در دوره لیسانس,,دو تا هفت ساعت,دو تا هفت ساعت,یک,"PHP, Javascript, SQL","C#, Python",MS-SQL,Windows 10,Linux ( Other ),Android,آپتانا,روشن,,,تب,"چای, قهوه","پیرهن مردونه, روشن",,سیاست برایم مهم است,پاپ ایرانی,بدون رابطه ولی علاقمند به شروع رابطه,2,"توسعه دهنده بک اند, توسعه دهنده فرانت اند, طراح",شرکت های ارائه دهنده سرویس های مختلف,5,زیر یک میلیون,هیییییییییچ !,نیمه وقت خصوصی,اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم,زیر ده هزار,5,
3/18/2017 13:05:53,۲۳ تا ۲۹,مرد,کرمان,تهران,زیر یکسال,لیسانس,,دو تا هفت ساعت,کمتر از دو ساعت,هیچ,"C++, Python, SQL","Scala, Go, Bash","Postgresql, Redis","Linux Ubuntu, Linux (other)",Linux CentOS,Android,"سابلایم, محصولات جت برین",تیره,گیت,سورس کنترل,تفاوتی ندارد,آب,"جین, پیرهن مردونه, رنگی رنگی, روشن, ساعت می بندم",,"در رابطه نیستم ولی دوست داشتم بودم, حداقل یک روز در میان دوش می گیرم","راک, رپ",بدون رابطه ولی علاقمند به شروع رابطه,2,توسعه دهنده بک اند,شرکت های تولید نرم افزار,70,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,,4,
3/18/2017 13:36:53,۲۳ تا ۲۹,مرد,تهران,تهران,سه تا هفت سال,در حال تحصیل در فوق لیسانس,"Security (CEH, MTA, ...)",دو تا هفت ساعت,کمتر از دو ساعت,یک,"Javascript, SQL, Groovy",Javascript,"MySQL/MariaDB, Postgresql","Windows 10, Linux (other), Linux Mint",Linux CentOS,Android,"اتم, محصولات جت برین",تیره,"گیت, اس وی ان",,تب,چای,"جین, پیرهن مردونه",,حداقل یک روز در میان دوش می گیرم,"متال, راک",با پارتنر دائم,2,"توسعه دهنده فرانت اند, مدیر سیستم, امنیت, تحلیلگر, تست کننده",بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...),5,دو تا سه و نیم میلیون,"قهوه،‌ چای و ... رایگان, بیمه",تمام وقت خصوصی,تمام وقت‌های کاری را در دفتر هستم,ساعتی کار نمی کنم,3,
