"Timestamp","در کدام محدوده سنی هستید؟","جنسیت","خودتون رو متعلق به کدوم استان می دونین؟ بچه کجایین؟ (:","استان محل کار","چند سال تجربه کار تمام وقت دارید؟","آخرین وضعیت تحصیلی","چه مدارک بین المللی ای اخذ کرده اید","چند ساعت در هفته برای یادگیری تکنولوژی‌ها، زبان ها و ... جدید وقت می گذارید؟","بیشترین یادگیری شما در کجا اتفاق می افتد؟","چند ساعت در هفته برای پروژه‌های غیرکاری ولی مرتبط با حوزه کاری خود (برنامه نویسی، وبلاگنویسی، گزارش باگ، ...) وقت می گذارید؟","در سه ماه گذشته چند کتاب [غیردرسی] خوانده اید؟","زبان‌های برنامه‌نویسی مورد استفاده شما در پروژه‌ها کدامند؟","به جز زبان‌های فعلی‌تان، دوست دارید با چه زبان برنامه ای نویسی کار کنید؟","دیتابیس‌های مورد استفاده","سیستم عامل رومیزی شما کدام است؟","سیستم عامل سرور مورد علاقه شما","و وقتی صحبت از تلفن همراه باشد...","در چه محیطی برنامه نویسی می‌کنید","تم آی دی ای","از چه سورس کنترلی استفاده می کنید؟","از کدام تکنولوزی ها استفاده می کنید","کدام سرویس برای شما بسیار پر استفاده است؟","تب یا اسپیس؟","نوشیدنی‌های مورد علاقه شما چیست؟","تیپ ","تغییر در بدن؟","کدام‌ها در مورد شما صدق می‌کند","سبک موسیقی","وضعیت رابطه","به طور معمول چند دیوایس دیجیتال با خودتان حمل می کنید (شامل لپ تاپ، پخش کننده موزیک، موبایل،‌ کتابخوان، ...)","حوزه کاری شما چیست","نوع شرکت شما کدام است؟","تعداد مجموع کارمندان شرکت (در صورتی که انفرادی کار می کنید: 1)","متوسط درآمد ماهیانه شما (به تومان)","محل کار چه خدماتی بیشتر از حقوق ارائه می دهد","چگونه کار می کنید؟","شیوه کار شما کدام است؟","در صورتی که ساعتی کار می کنید، حقوق ساعتی شما چقدر است؟ (تومان)","چقدر از کاری که انتخاب کرده اید راضی هستید؟","آیا برنامه نویسی یا مدیریت سیستم‌ها شغل اصلی شماست؟"
"2018/03/07 10:29:26 PM GMT+4:30","۲۳ تا ۲۹","مرد","مازندران","مازندران","زیر یکسال","لیسانس","","کمتر از دو ساعت","ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","صفر","هیچ","Javascript","Python;PHP;Ruby","MS-SQL;MySQL/MariaDB","lubuntu","Linux Ubuntu","Android","ویژوال استودیو;سابلایم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)","روشن","گیت","chi hast aslan ?!","استک اورفلو","تب","چای سبز;نوشیدنی‌های الکلی;آب","تی شرت;جین","RISH","در رابطه نیستم ولی دوست داشتم بودم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;سنتی;پاپ ایرانی;پاپ خارجی;متال;راک;رپ;easy listening;بلوز;کانتری;الکترونیک دنس","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","2","توسعه دهنده فرانت اند","شرکت های ارائه دهنده سرویس های مختلف","5","زیر یک میلیون","قهوه،‌ چای و ... رایگان","tamam vaght khososi movaghat","تمام وقت‌های کاری را در دفتر هستم","زیر ده هزار","4","بله"
"2018/03/07 10:49:22 PM GMT+4:30","۲۳ تا ۲۹","مرد","همدان","تهران","یک تا سه سال","لیسانس","","صفر","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی","کمتر از دو ساعت","یک","C;C++;C#","Java;Python;PHP","sqlite","Windows 10","","Android","ویژوال استودیو","تیره","گیت","","استک اورفلو","اسپیس","چای سیاه;قهوه","تی شرت;پیرهن مردونه","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","متال;راک","ازدواج کرده ام","","توسعه دهنده دسکتاپ;تحلیلگر","شرکت های تولید نرم افزار","80","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","زیر ده هزار","2","بله"
"2018/03/07 10:50:05 PM GMT+4:30","۲۳ تا ۲۹","مرد","همدان","همدان","هفت تا پانزده سال","در حال تحصیل در فوق لیسانس","","بیشتر از چهارده ساعت","کتاب / خودآموزهای متنی","دو تا هفت ساعت","بیشتر از شش","Java;C++;Python;R;Go;Bash","","MySQL/MariaDB;MongoDB;Redis","Linux Ubuntu","Linux Ubuntu","","محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;کانتینرها;بیلد سیستم ها;کلاود;هوش مصنوعی","استک اورفلو;تلگرام برای کنترل پروژه","تب","چای سیاه;چای سبز;قهوه;دمنوش‌های متنوع;انواع ماء الشعیر;آب","تی شرت;جین;پیرهن مردونه;روشن","","مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","سنتی;متال;راک;بلوز;کانتری","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","0","توسعه دهنده بک اند;دانشمند داده;تحلیلگر","استارتاپ","4","زیر یک میلیون","","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","دورکاری کامل","زیر ده هزار","2","بله"
"2018/03/07 11:40:26 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","یک تا سه سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","دو یا سه","Java;PHP;SQL","Python;Kotlin","MySQL/MariaDB","Windows 8","Windows Server 2008;Linux Ubuntu","Android","محصولات جت برین","تیره","گیت","سورس کنترل;بیلد سیستم ها;ویکی‌های مربوط به پروژه;کلاود","استک اورفلو;ترلو;تلگرام برای کنترل پروژه","تب","چای سیاه;نوشابه;آب","تی شرت;جین;پیرهن مردونه;رسمی","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;خودم رو گیک می دونم","رپ","با پارتنر دائم","","توسعه دهنده بک اند;توسعه دهنده موبایل","استارتاپ","3","زیر یک میلیون","","استارتاپ خودم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","5","بله"
"2018/03/07 11:50:37 PM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","یک تا سه سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","یک","Java;Python","Python;Objective C;Swift","MySQL/MariaDB;sqlite","Windows 7;Linux Arch","Linux CentOS","Android","ویژوال استودیو","تیره","گیت","سورس کنترل","استک اورفلو","تفاوتی ندارد","چای سیاه;چای سبز;دمنوش‌های متنوع","تی شرت;جین;پیرهن مردونه;روشن;رسمی;اسپورت","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;طبیعت را دوست دارم","سنتی;پاپ خارجی;راک","بدون رابطه و بدون علاقه به شروع","","توسعه دهنده بک اند;توسعه دهنده موبایل;تحلیلگر","شرکت های تولید نرم افزار","5","یک تا دو میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","","3","بله"
"2018/03/07 11:56:57 PM GMT+4:30","۱۸ تا ۲۲","مرد","","تهران","زیر یکسال","در حال تحصیل در دوره لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی","کمتر از دو ساعت","هیچ","Javascript","Java;Python","MongoDB","Linux Ubuntu","Linux CentOS;Linux Debian;Linux Ubuntu","Android;Blackberry","براکت","تیره","گیت","سورس کنترل;بیلد سیستم ها","استک اورفلو;فروم‌های ایرانی;تلگرام برای کنترل پروژه","تب","چای سیاه","تی شرت;جین;تیره;ساعت می بندم;متفاوت از اکثریت","","حیوان خانگی دارم;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم","سنتی;پاپ خارجی;راک","بدون رابطه ولی علاقمند به شروع رابطه","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند;طراح","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...);شرکت های تولید نرم افزار","6","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","4","بله"
"2018/03/08 12:39:55 AM GMT+4:30","۲۳ تا ۲۹","مرد","تهران","تهران","سه تا هفت سال","فوق لیسانس","Network (CCNA, MCSE, MCITP, ...)","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;کلاس‌های فیزیکی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","هیچ","برنامه نویسی نمی‌کنم","Java;PHP","MS-SQL","Windows 10","Windows Server 2012;Windows Server 2016","Android","برنامه نویسی نمی کنم","از آی دی ای استفاده نمی کنم","استفاده نمی کنم","nothing","nothing","هان؟","چای سیاه;چای سبز;قهوه;دمنوش‌های متنوع;آب","جین;پیرهن مردونه;کت و شلوار;رنگی رنگی;رسمی;ساعت می بندم;اسپورت","","سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;طبیعت را دوست دارم","کلاسیک;پاپ ایرانی;پاپ خارجی;easy listening","بدون رابطه ولی علاقمند به شروع رابطه","3","مدیر شرکت / پروژه / ...","استارتاپ","3","دو تا سه و نیم میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان;لپ تاپ;بیمه","استارتاپ خودم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","4","خیر"
"2018/03/08 1:14:20 AM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","یک تا سه سال","در حال تحصیل در دوره لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","یک","Python;Javascript;SQL","Swift;Scala;Go;Kotlin","Postgresql;MongoDB","Linux Ubuntu","Linux ( Other )","Android","اتم;محصولات جت برین","تیره","گیت","سورس کنترل;کانتینرها","استک اورفلو;ترلو;تلگرام برای کنترل پروژه","تب","چای سیاه;قهوه","تی شرت;جین;ساعت می بندم","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","سنتی;پاپ ایرانی;پاپ خارجی;راک;الکترونیک دنس","با پارتنر دائم","3","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند","استارتاپ","6","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان;پاداش بر اساس نتایج","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","بین ده تا بیست و پنج","5","بله"
"2018/03/08 1:15:17 AM GMT+4:30","۳۰ تا ۳۹","مرد","تهران","تهران","هفت تا پانزده سال","لیسانس","Network (CCNA, MCSE, MCITP, ...);Linux (LPIC, ...);Windows (MCP, ...);Programming Languages (Java, MCP, ..)","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کلاس‌های فیزیکی;کتاب / خودآموزهای متنی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","C++;C#;PHP;Javascript;SQL","Java;Python","MS-SQL;MySQL/MariaDB;sqlite","Windows 10;Linux Ubuntu;Linux Fedora","Windows Server 2003;Linux Ubuntu","Dumb phones (1100, ...)","ویژوال استودیو;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)","گاهی روشن گاهی تیره","","","استک اورفلو","تب","آب","تی شرت;جین","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم;خودم رو گیک می دونم","کلاسیک;پاپ ایرانی;راک","ازدواج کرده ام","1","توسعه دهنده بک اند;توسعه دهنده فرانت اند;شبکه;طراح","شرکت های ارائه دهنده سرویس های مختلف;استارتاپ","5","دو تا سه و نیم میلیون","بیمه","استارتاپ دیگران","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","3","خیر"
"2018/03/08 2:11:58 AM GMT+4:30","۱۸ تا ۲۲","مرد","همدان","تهران","زیر یکسال","در حال تحصیل در دوره لیسانس","","هفت تا چهارده ساعت","ویدئوهای مستقل آموزشی","صفر","هیچ","Java","Python;Swift","MySQL/MariaDB;Postgresql","OS X;Linux Ubuntu","Linux CentOS","iOS","اتم;ایکس کد;محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل","استک اورفلو","تب","چای سیاه;چای سبز;آب","تی شرت;جین","","در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم","","این بحث ها برام زوده","2","توسعه دهنده بک اند","","1","زیر یک میلیون","","بی کار","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","1","بله"
"2018/03/08 2:12:13 AM GMT+4:30","زیر ۱۸ سال","مرد","اصفهان","اصفهان","یک تا سه سال","در حال تحصیل در دبیرستان یا پایینتر","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","یک","C;C++;C#;Python;Visual Basic","Python;PHP;Perl;Javascript;Delphi / Pascal;Assembly","MS-SQL","Windows 10;Linux Ubuntu","Windows Server 2012;Linux CentOS","Android;Java / Symbian / Maemo / ...","ویژوال استودیو;اتم","تیره","گیت","سورس کنترل;تست های خودکار","استک اورفلو;ردماین;تلگرام برای کنترل پروژه","تب","چای سیاه;دمنوش‌های متنوع;آب","تی شرت;تیره;ساعت می بندم;اسپورت","","بیشتر از سه بار در هفته ورزش می کنم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;اهل فیلم و سریال هستم","کلاسیک;سنتی;پاپ ایرانی","این بحث ها برام زوده","2","توسعه دهنده دسکتاپ;شبکه;امنیت","تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","زیر یک میلیون","","پروژه ای مستقل","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","5","بله"
"2018/03/08 6:32:36 AM GMT+4:30","۱۸ تا ۲۲","مرد","تهران","تهران","زیر یکسال","در حال تحصیل کاردانی","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی","صفر","دو یا سه","C#","Python;Javascript;Swift;Kotlin","MySQL/MariaDB;Postgresql;sqlite","Windows 10;Linux (other)","Windows Server 2016","Android;iOS","ویژوال استودیو","گاهی روشن گاهی تیره","","","استک اورفلو","تفاوتی ندارد","نوشابه","بین رسمی و اسپورت","","در رابطه نیستم ولی دوست داشتم بودم;به شکل مرتب بازی‌های کامپیوتری می‌کنم;اهل فیلم و سریال هستم","کلاسیک;پاپ خارجی;رپ;کانتری","بدون رابطه ولی علاقمند به شروع رابطه","3","توسعه دهنده موبایل;توسعه دهنده دسکتاپ","","4","یک تا دو میلیون","بیمه","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","","","3","بله"
"2018/03/08 9:27:19 AM GMT+4:30","۳۰ تا ۳۹","مرد","گلستان","تهران","هفت تا پانزده سال","لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;کتاب / خودآموزهای متنی","کمتر از دو ساعت","یک","C#;Javascript;SQL","Python","MS-SQL;sqlite","Windows 10","Windows Server 2012","Android","ویژوال استودیو","روشن","گیت;تی اف اس","سورس کنترل;کانتینرها;بیلد سیستم ها;تست های خودکار;بیگ دیتا;کلاود","استک اورفلو;ترلو;ابزارهای مدیریت پروژه مایکروسافت","اسپیس","چای سیاه;قهوه;نوشیدنی‌های الکلی;آب","تی شرت;جین","","بیشتر از یک نخ در روز سیگار می کشم;سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ خارجی","ازدواج کرده ام","1","توسعه دهنده فول استک وب","شرکت های تولید نرم افزار","1300","پنج تا هفت میلیون","عضویت باشگاه های ورزشی یا هزینه ورزش;ناهار رایگان;قهوه،‌ چای و ... رایگان;خوراکی و اسنک‌های رایگان داخل شرکت;کارت هدیه و کارت خرید;پاداش بر اساس نتایج;سفر، اردو، برنامه های تفریحی خارج شرکت به خرج شرکت;برگزاری مراسم و تولدها در داخل شرکت;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","5","بله"
"2018/03/08 9:39:46 AM GMT+4:30","۲۳ تا ۲۹","مرد","","اصفهان","یک تا سه سال","کاردانی","","کمتر از دو ساعت","یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","هیچ","PHP","C#;PHP;Javascript;SQL","MySQL/MariaDB","Windows 10","Windows Server 2016","Android","ویژوال استودیو;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت)","از آی دی ای استفاده نمی کنم","استفاده نمی کنم","","تلگرام برای کنترل پروژه","تفاوتی ندارد","چای سیاه;آب","تی شرت","","اهل فیلم و سریال هستم;طبیعت را دوست دارم","سنتی","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","1","طراح","استارتاپ;تولید مستقل محصول و فروش در سایت ها و پلتفرمها","1","زیر یک میلیون","","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","شخصی کار می کنم و در محل خودم","","4","خیر"
"2018/03/08 10:50:12 AM GMT+4:30","۲۳ تا ۲۹","مرد","اردبیل","تهران","سه تا هفت سال","دیپلم","","هفت تا چهارده ساعت","سایت‌های آموزش آنلاین خارجی;یادگیری از طریق انجام پروژه","دو تا هفت ساعت","دو یا سه","Python;PHP;SQL;Bash","C","MySQL/MariaDB;Postgresql;sqlite","Linux Ubuntu","Linux CentOS;Linux Ubuntu","iOS;Blackberry","ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);محصولات جت برین","تیره","گیت;اس وی ان","سورس کنترل","استک اورفلو;ترلو","اسپیس","چای سیاه;قهوه;دمنوش‌های متنوع;انرژی زا;نوشابه","تی شرت;جین;تیره;ساعت می بندم","","سیاست برایم مهم است;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","پاپ ایرانی;راک","","2","توسعه دهنده بک اند;مدیر سیستم;شبکه","شرکت های تولید نرم افزار;استارتاپ","30","سه و نیم تا پنج میلیون","قهوه،‌ چای و ... رایگان;آموزش خارج از شرکت;برگزاری مراسم و تولدها در داخل شرکت;لپ تاپ;تلفن همراه;بیمه;بیمه تکمیلی","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","2","بله"
"2018/03/08 1:33:18 PM GMT+4:30","۱۸ تا ۲۲","مرد","اصفهان","تهران","زیر یکسال","در حال تحصیل در دوره لیسانس","","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;کلاس‌های فیزیکی","هفت تا چهارده ساعت","سه تا شش","Java;C;Python;Javascript;Matlab;SQL","C++;R;Scala","MySQL/MariaDB","Windows 10;Linux Ubuntu","Linux Ubuntu","Android","محصولات جت برین;نت بینز;محصولات اکلیپس","تیره","گیت","سورس کنترل;هوش مصنوعی","استک اورفلو;ترلو;اسلک","تب","چای سیاه;قهوه","تی شرت;جین;تیره;اسپورت","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;در رابطه نیستم ولی دوست داشتم بودم;حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;طبیعت را دوست دارم;خودم رو گیک می دونم","سنتی;پاپ ایرانی","با کامپیوتر/اینترنت/برنامه نویسی/سیستم عامل/... در رابطه ام","3","دانشمند داده","استارتاپ","1","زیر یک میلیون","ناهار رایگان;قهوه،‌ چای و ... رایگان","نیمه وقت خصوصی (شامل استارتاپ‌های جا افتاده)","شخصی کار می کنم و در محل خودم","زیر ده هزار","4","بله"
"2018/03/08 1:48:47 PM GMT+4:30","۲۳ تا ۲۹","مرد","خراسان شمالی","خراسان شمالی","سه تا هفت سال","لیسانس","","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;ویدئوهای مستقل آموزشی;یادگیری از طریق انجام پروژه","هفت تا چهارده ساعت","دو یا سه","Javascript;برنامه نویسی نمی‌کنم","Python;PHP;Javascript;Objective C;Go","MySQL/MariaDB;Postgresql;MongoDB","Windows 7;Windows 10;Linux Ubuntu","Linux Ubuntu","Android;iOS","سابلایم;اتم;ادیتورهای متن ساده (نوت پد پلاس پلاس، جی ادیت);براکت;محصولات جت برین","گاهی روشن گاهی تیره","گیت","سورس کنترل;ویکی‌های مربوط به پروژه","استک اورفلو;ترلو","تفاوتی ندارد","دمنوش‌های متنوع;انواع ماء الشعیر;آب","تی شرت;جین;پیرهن مردونه;کت و شلوار;رنگی رنگی;تیره;روشن","تقویت کننده حواس","حداقل یک روز در میان دوش می گیرم;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;سنتی;پاپ ایرانی;پاپ خارجی;راک","بدون رابطه ولی علاقمند به شروع رابطه","1","توسعه دهنده فرانت اند;شبکه;طراح","استارتاپ","2","یک تا دو میلیون","قهوه،‌ چای و ... رایگان;بیمه","استارتاپ خودم","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","5","بله"
"2018/03/08 1:49:59 PM GMT+4:30","۲۳ تا ۲۹","مرد","","خراسان رضوی","یک تا سه سال","لیسانس","","کمتر از دو ساعت","سایت‌های آموزش آنلاین خارجی","هفت تا چهارده ساعت","هیچ","Javascript","","MySQL/MariaDB","Windows 7","Linux CentOS","Android","ویژوال استودیو","تیره","گیت","سورس کنترل","","هان؟","دمنوش‌های متنوع;انواع ماء الشعیر","پیرهن مردونه","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;طبیعت را دوست دارم","","رابطه های نا پایدار","1","توسعه دهنده بک اند;توسعه دهنده فرانت اند","بخش آی تی شرکت های غیر نرم افزاری (مانند مخابراتی‌ها، بانک ها، ...)","2","یک تا دو میلیون","","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","زیر ده هزار","1","بله"
"2018/03/08 1:52:21 PM GMT+4:30","۲۳ تا ۲۹","مرد","خراسان رضوی","خراسان رضوی","پانزده تا بیست و پنج","فوق لیسانس","","بیشتر از چهارده ساعت","سایت‌های آموزش آنلاین خارجی;سایت‌های آموزش آنلاین داخلی;کتاب / خودآموزهای متنی;یادگیری از طریق انجام پروژه","کمتر از دو ساعت","دو یا سه","Java;Python;PHP;Javascript;SQL;Bash","","MySQL/MariaDB","OS X","Linux CentOS;Linux Ubuntu","Android","محصولات اکلیپس","تیره","گیت","","استک اورفلو;ترلو","تب","چای سیاه;انواع ماء الشعیر;آب","پیرهن مردونه;رنگی رنگی;گجت پوشیدنی دارم (ساعت هوشمند، ...);اسپورت","","به شکل مرتب نماز می‌خونم;سیاست برایم مهم است;اهل فیلم و سریال هستم;طبیعت را دوست دارم;خودم رو گیک می دونم","پاپ ایرانی;پاپ خارجی","ازدواج کرده ام","2","توسعه دهنده فول استک وب;توسعه دهنده بک اند;توسعه دهنده فرانت اند;مدیر سیستم;مدیر دیتابیس;شبکه;امنیت;مدیر شرکت / پروژه / ...","استارتاپ","1","بالای سیزده","","استارتاپ خودم","شخصی کار می کنم و در محل خودم","ساعتی کار نمی کنم","3","بله"
"2018/03/08 2:03:55 PM GMT+4:30","۲۳ تا ۲۹","زن","تهران","تهران","زیر یکسال","در حال تحصیل در فوق لیسانس","","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی","صفر","دو یا سه","Java","Python","MS-SQL;MySQL/MariaDB","Linux (other)","Windows ( Other )","Android","محصولات جت برین","روشن","گیت","سورس کنترل","استک اورفلو;تلگرام برای کنترل پروژه;اسلک","تب","چای سیاه;آب","جین;مجبور به حجاب;شال;رنگی رنگی;متفاوت از اکثریت","","طبیعت را دوست دارم","کلاسیک;کانتری","این بحث ها برام زوده","2","توسعه دهنده بک اند","شرکت های تولید نرم افزار","50","یک تا دو میلیون","بیمه","تمام وقت خصوصی (شامل استارتاپ‌های جا افتاده)","تمام وقت‌های کاری را در دفتر هستم","ساعتی کار نمی کنم","2","بله"
"2018/03/08 2:24:03 PM GMT+4:30","۱۸ تا ۲۲","زن","گلستان","گلستان","زیر یکسال","در حال تحصیل کاردانی","","دو تا هفت ساعت","کلاس‌های فیزیکی","صفر","دو یا سه","Java","Python","MySQL/MariaDB","Windows 10","","Android","ویژوال استودیو","تیره","","","استک اورفلو","تب","نوشابه","جین;شال;اسپورت","","سیاست برایم مهم است;حداقل یک روز در میان دوش می گیرم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;راک","با پارتنر دائم","2","توسعه دهنده موبایل","شرکت های تولید نرم افزار;استارتاپ","10","دو تا سه و نیم میلیون","قهوه،‌ چای و ... رایگان","تمام وقت دولتی با استخدام غیردائم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","","1","بله"
"2018/03/08 2:31:58 PM GMT+4:30","۳۰ تا ۳۹","مرد","خوزستان","خوزستان","پانزده تا بیست و پنج","کاردانی","Network (CCNA, MCSE, MCITP, ...)","دو تا هفت ساعت","سایت‌های آموزش آنلاین خارجی;ویدئوهای مستقل آموزشی","دو تا هفت ساعت","بیشتر از شش","C++;Python;PHP","Java;Swift","MySQL/MariaDB;sqlite","Windows 10;Linux Debian","Linux CentOS","iOS","محصولات جت برین","تیره","استفاده نمی کنم","بیلد سیستم ها;ویکی‌های مربوط به پروژه","استک اورفلو;ترلو;تودولیست‌ها","تب","چای سیاه","تی شرت;جین;پیرهن مردونه;گجت پوشیدنی دارم (ساعت هوشمند، ...)","","حیوان خانگی دارم;سیاست برایم مهم است;مینیمالیست هستم و سعی می‌کنم زندگی را پیچیده نکنم;اهل فیلم و سریال هستم;طبیعت را دوست دارم","کلاسیک;easy listening;بلوز;کانتری","رابطه های نا پایدار","4","مدیر سیستم;شبکه;امنیت;تحلیلگر;مدیر شرکت / پروژه / ...;تست کننده","بخش دولتی","5","دو تا سه و نیم میلیون","باشگاه ورزشی داخل شرکت;قهوه،‌ چای و ... رایگان;کارت هدیه و کارت خرید;لپ تاپ;بیمه;بیمه تکمیلی","تمام وقت دولتی با استخدام غیردائم","اکثر وقت‌ها در دفتر ولی دورکاری هم می کنم","ساعتی کار نمی کنم","2","بله"
